"","scenarioID","model","nIteration","pos","ratePos","mEs","nA","nB","nEff","sampleSize","samplePrior","p1","p2","p3","marginColiVBAT"
"1","scenario1","bayesglm",1460,77,0.0527397260273973,0.0976694794483899,102.884246575342,55.2890410958904,158.173287671233,200,300,0.4,"0.5",0.4,"0.1"
"2","scenario10","bayesglm",1460,90,0.0616438356164384,0.0970080797408989,195.865753424658,105.614383561644,301.480136986301,380,300,0.4,"0.5",0.4,"0.1"
"3","scenario100","bayesglm",1460,608,0.416438356164384,0.0500982416352817,597.980136986301,321.807534246575,919.787671232877,1160,300,0.4,"0.45",0.4,"0.05"
"4","scenario101","bayesglm",1460,618,0.423287671232877,0.0492717881043068,607.91095890411,327.090410958904,935.001369863014,1180,300,0.4,"0.45",0.4,"0.05"
"5","scenario102","bayesglm",1460,619,0.423972602739726,0.0490567221152991,618.293150684932,333.13698630137,951.430136986301,1200,300,0.4,"0.45",0.4,"0.05"
"6","scenario103","bayesglm",1460,442,0.302739726027397,0.00484466335727925,103.069178082192,55.7445205479452,158.813698630137,200,300,0.4,"0.4",0.4,"0"
"7","scenario104","bayesglm",1460,549,0.376027397260274,-0.00131739919164654,113.254794520548,61.3143835616438,174.569178082192,220,300,0.4,"0.4",0.4,"0"
"8","scenario105","bayesglm",1460,571,0.391095890410959,-0.00230577031375894,123.500684931507,66.5383561643836,190.03904109589,240,300,0.4,"0.4",0.4,"0"
"9","scenario106","bayesglm",1460,585,0.400684931506849,-0.000900092132372916,133.959589041096,72.1267123287671,206.086301369863,260,300,0.4,"0.4",0.4,"0"
"10","scenario107","bayesglm",1460,582,0.398630136986301,0.00156865718108028,144.037671232877,77.763698630137,221.801369863014,280,300,0.4,"0.4",0.4,"0"
"11","scenario108","bayesglm",1460,633,0.433561643835616,0.000757995922276366,154.589726027397,83.4280821917808,238.017808219178,300,300,0.4,"0.4",0.4,"0"
"12","scenario109","bayesglm",1460,644,0.441095890410959,0.00152386631410388,164.827397260274,88.941095890411,253.768493150685,320,300,0.4,"0.4",0.4,"0"
"13","scenario11","bayesglm",1460,68,0.0465753424657534,0.0992074873688908,205.840410958904,110.86095890411,316.701369863014,400,300,0.4,"0.5",0.4,"0.1"
"14","scenario110","bayesglm",1460,681,0.466438356164384,0.00246883724550918,175.2,94.2164383561644,269.416438356164,340,300,0.4,"0.4",0.4,"0"
"15","scenario111","bayesglm",1460,707,0.484246575342466,0.000672978939866888,185.045890410959,99.6869863013699,284.732876712329,360,300,0.4,"0.4",0.4,"0"
"16","scenario112","bayesglm",1460,741,0.507534246575343,-1.14197065265196e-05,195.604109589041,105.785616438356,301.389726027397,380,300,0.4,"0.4",0.4,"0"
"17","scenario113","bayesglm",1460,741,0.507534246575343,0.00100887585003264,205.941780821918,111.100684931507,317.042465753425,400,300,0.4,"0.4",0.4,"0"
"18","scenario114","bayesglm",1460,783,0.536301369863014,-0.000907214089466362,216.459589041096,116.71301369863,333.172602739726,420,300,0.4,"0.4",0.4,"0"
"19","scenario115","bayesglm",1460,802,0.549315068493151,0.00185004230769859,226.226712328767,122.28904109589,348.515753424658,440,300,0.4,"0.4",0.4,"0"
"20","scenario116","bayesglm",1460,794,0.543835616438356,0.00187999756037877,236.160273972603,127.86301369863,364.023287671233,460,300,0.4,"0.4",0.4,"0"
"21","scenario117","bayesglm",1460,863,0.591095890410959,-0.00122547490562909,247.416438356164,133.491095890411,380.907534246575,480,300,0.4,"0.4",0.4,"0"
"22","scenario118","bayesglm",1460,886,0.606849315068493,-0.000959450805534107,257.204794520548,138.943835616438,396.148630136986,500,300,0.4,"0.4",0.4,"0"
"23","scenario119","bayesglm",1460,902,0.617808219178082,-0.00183932081118586,268.217123287671,143.912328767123,412.129452054795,520,300,0.4,"0.4",0.4,"0"
"24","scenario12","bayesglm",1460,60,0.0410958904109589,0.101324677783366,216.793835616438,116.080136986301,332.87397260274,420,300,0.4,"0.5",0.4,"0.1"
"25","scenario120","bayesglm",1460,908,0.621917808219178,0.000150170834477037,278.33904109589,149.669863013699,428.008904109589,540,300,0.4,"0.4",0.4,"0"
"26","scenario121","bayesglm",1460,938,0.642465753424658,-0.000317016238122135,288.381506849315,155.514383561644,443.895890410959,560,300,0.4,"0.4",0.4,"0"
"27","scenario122","bayesglm",1460,932,0.638356164383562,0.000721933711997725,298.315068493151,161.121917808219,459.43698630137,580,300,0.4,"0.4",0.4,"0"
"28","scenario123","bayesglm",1460,965,0.660958904109589,-0.00140866565203281,309.030821917808,166.903424657534,475.934246575343,600,300,0.4,"0.4",0.4,"0"
"29","scenario124","bayesglm",1460,986,0.675342465753425,-0.000520718344054249,319.637671232877,171.86095890411,491.498630136986,620,300,0.4,"0.4",0.4,"0"
"30","scenario125","bayesglm",1460,988,0.676712328767123,0.0015518125264108,329.978767123288,177.377397260274,507.356164383562,640,300,0.4,"0.4",0.4,"0"
"31","scenario126","bayesglm",1460,1021,0.699315068493151,-0.00128827236978582,339.754109589041,182.898630136986,522.652739726027,660,300,0.4,"0.4",0.4,"0"
"32","scenario127","bayesglm",1460,1036,0.70958904109589,-0.00132320696091802,350.147945205479,188.432191780822,538.580136986301,680,300,0.4,"0.4",0.4,"0"
"33","scenario128","bayesglm",1460,1060,0.726027397260274,-0.000366828785242159,361.039726027397,193.827397260274,554.867123287671,700,300,0.4,"0.4",0.4,"0"
"34","scenario129","bayesglm",1460,1070,0.732876712328767,0.000366699203005272,370.254109589041,200.238356164384,570.492465753425,720,300,0.4,"0.4",0.4,"0"
"35","scenario13","bayesglm",1460,69,0.0472602739726027,0.103145451155035,226.534931506849,122.207534246575,348.742465753425,440,300,0.4,"0.5",0.4,"0.1"
"36","scenario130","bayesglm",1460,1099,0.752739726027397,-0.00138310394900196,380.296575342466,206.052054794521,586.348630136986,740,300,0.4,"0.4",0.4,"0"
"37","scenario131","bayesglm",1460,1094,0.749315068493151,-0.00128332601012396,391.429452054795,210.908904109589,602.338356164384,760,300,0.4,"0.4",0.4,"0"
"38","scenario132","bayesglm",1460,1114,0.763013698630137,-0.000775783593037593,401.241095890411,216.531506849315,617.772602739726,780,300,0.4,"0.4",0.4,"0"
"39","scenario133","bayesglm",1460,1129,0.773287671232877,0.000135884688393132,411.785616438356,222.383561643836,634.169178082192,800,300,0.4,"0.4",0.4,"0"
"40","scenario134","bayesglm",1460,1148,0.786301369863014,-0.000188363612324724,422.27602739726,227.799315068493,650.075342465753,820,300,0.4,"0.4",0.4,"0"
"41","scenario135","bayesglm",1460,1171,0.802054794520548,-0.000679463640461357,433.265753424658,232.678767123288,665.944520547945,840,300,0.4,"0.4",0.4,"0"
"42","scenario136","bayesglm",1460,1153,0.78972602739726,0.000200951539179882,442.894520547945,238.502739726027,681.397260273973,860,300,0.4,"0.4",0.4,"0"
"43","scenario137","bayesglm",1460,1182,0.80958904109589,-0.000801465749960542,453.45,243.881506849315,697.331506849315,880,300,0.4,"0.4",0.4,"0"
"44","scenario138","bayesglm",1460,1187,0.813013698630137,-0.000272984033572079,464.187671232877,249.217123287671,713.404794520548,900,300,0.4,"0.4",0.4,"0"
"45","scenario139","bayesglm",1460,1177,0.806164383561644,-0.000537312043679672,473.964383561644,255.545205479452,729.509589041096,920,300,0.4,"0.4",0.4,"0"
"46","scenario14","bayesglm",1460,65,0.0445205479452055,0.101475770187342,237.195890410959,127.076712328767,364.272602739726,460,300,0.4,"0.5",0.4,"0.1"
"47","scenario140","bayesglm",1460,1194,0.817808219178082,0.00133891034732072,484.965753424658,259.912328767123,744.878082191781,940,300,0.4,"0.4",0.4,"0"
"48","scenario141","bayesglm",1460,1216,0.832876712328767,-0.000773864083931711,494.231506849315,266.528082191781,760.759589041096,960,300,0.4,"0.4",0.4,"0"
"49","scenario142","bayesglm",1460,1219,0.834931506849315,-0.00051821305076815,505.056164383562,271.584931506849,776.641095890411,980,300,0.4,"0.4",0.4,"0"
"50","scenario143","bayesglm",1460,1266,0.867123287671233,-0.000857891253493523,515.83904109589,277.319178082192,793.158219178082,1000,300,0.4,"0.4",0.4,"0"
"51","scenario144","bayesglm",1460,1247,0.854109589041096,-0.000353897945678544,525.818493150685,282.752739726027,808.571232876712,1020,300,0.4,"0.4",0.4,"0"
"52","scenario145","bayesglm",1460,1274,0.872602739726027,-0.00079802007969208,535.821917808219,288.643835616438,824.465753424658,1040,300,0.4,"0.4",0.4,"0"
"53","scenario146","bayesglm",1460,1274,0.872602739726027,-0.000945445676764541,545.719863013699,294.359589041096,840.079452054795,1060,300,0.4,"0.4",0.4,"0"
"54","scenario147","bayesglm",1460,1262,0.864383561643836,0.000512874642337245,556.756164383562,299.006164383562,855.762328767123,1080,300,0.4,"0.4",0.4,"0"
"55","scenario148","bayesglm",1460,1274,0.872602739726027,0.000286293560636516,566.147945205479,305.805479452055,871.953424657534,1100,300,0.4,"0.4",0.4,"0"
"56","scenario149","bayesglm",1460,1286,0.880821917808219,0.000147306697335218,576.93698630137,310.950684931507,887.887671232877,1120,300,0.4,"0.4",0.4,"0"
"57","scenario15","bayesglm",1460,64,0.0438356164383562,0.100614386192438,247.147260273973,133.334931506849,380.482191780822,480,300,0.4,"0.5",0.4,"0.1"
"58","scenario150","bayesglm",1460,1285,0.88013698630137,0.000244569623664531,587.841780821918,316.292465753425,904.134246575343,1140,300,0.4,"0.4",0.4,"0"
"59","scenario151","bayesglm",1460,1301,0.891095890410959,1.28900571869221e-06,597.478082191781,321.937671232877,919.415753424658,1160,300,0.4,"0.4",0.4,"0"
"60","scenario152","bayesglm",1460,1320,0.904109589041096,-0.00170065632245274,607.533561643836,327.815068493151,935.348630136986,1180,300,0.4,"0.4",0.4,"0"
"61","scenario153","bayesglm",1460,1327,0.908904109589041,-0.00166757901875026,617.209589041096,333.897945205479,951.107534246575,1200,300,0.4,"0.4",0.4,"0"
"62","scenario154","bayesglm",1460,679,0.465068493150685,-0.0235315024001848,103.177397260274,55.436301369863,158.613698630137,200,300,0.4,"0.38",0.4,"-0.02"
"63","scenario155","bayesglm",1460,655,0.448630136986301,-0.01789119076307,113.280136986301,60.8698630136986,174.15,220,300,0.4,"0.38",0.4,"-0.02"
"64","scenario156","bayesglm",1460,708,0.484931506849315,-0.0196276038748138,123.831506849315,66.4602739726027,190.291780821918,240,300,0.4,"0.38",0.4,"-0.02"
"65","scenario157","bayesglm",1460,693,0.474657534246575,-0.0143488683036376,134.398630136986,71.8308219178082,206.229452054795,260,300,0.4,"0.38",0.4,"-0.02"
"66","scenario158","bayesglm",1460,754,0.516438356164384,-0.0173830343642277,144.652054794521,77.4993150684931,222.151369863014,280,300,0.4,"0.38",0.4,"-0.02"
"67","scenario159","bayesglm",1460,804,0.550684931506849,-0.0205176436134985,154.534246575342,83.1691780821918,237.703424657534,300,300,0.4,"0.38",0.4,"-0.02"
"68","scenario16","bayesglm",1460,70,0.0479452054794521,0.0984509599738383,257.480136986301,138.564383561644,396.044520547945,500,300,0.4,"0.5",0.4,"0.1"
"69","scenario160","bayesglm",1460,818,0.56027397260274,-0.0174315201836905,164.942465753425,88.9917808219178,253.934246575342,320,300,0.4,"0.38",0.4,"-0.02"
"70","scenario161","bayesglm",1460,851,0.582876712328767,-0.0205269016604034,175.18904109589,94.6904109589041,269.879452054795,340,300,0.4,"0.38",0.4,"-0.02"
"71","scenario162","bayesglm",1460,890,0.60958904109589,-0.0189096342068464,185.584931506849,99.9041095890411,285.48904109589,360,300,0.4,"0.38",0.4,"-0.02"
"72","scenario163","bayesglm",1460,932,0.638356164383562,-0.0213956128869914,195.735616438356,105.33904109589,301.074657534247,380,300,0.4,"0.38",0.4,"-0.02"
"73","scenario164","bayesglm",1460,980,0.671232876712329,-0.0211424180402599,206.228082191781,110.525342465753,316.753424657534,400,300,0.4,"0.38",0.4,"-0.02"
"74","scenario165","bayesglm",1460,978,0.66986301369863,-0.0189116958058068,216.455479452055,116.446575342466,332.902054794521,420,300,0.4,"0.38",0.4,"-0.02"
"75","scenario166","bayesglm",1460,997,0.682876712328767,-0.018978488968413,226.982876712329,121.825342465753,348.808219178082,440,300,0.4,"0.38",0.4,"-0.02"
"76","scenario167","bayesglm",1460,1015,0.695205479452055,-0.0191580891828578,236.793835616438,127.604794520548,364.398630136986,460,300,0.4,"0.38",0.4,"-0.02"
"77","scenario168","bayesglm",1460,1053,0.721232876712329,-0.0194787251812145,247.065753424658,133.295890410959,380.361643835616,480,300,0.4,"0.38",0.4,"-0.02"
"78","scenario169","bayesglm",1460,1069,0.732191780821918,-0.0195142803359004,257.165753424658,139.047945205479,396.213698630137,500,300,0.4,"0.38",0.4,"-0.02"
"79","scenario17","bayesglm",1460,83,0.0568493150684932,0.0997958605399362,267.921917808219,143.999315068493,411.921232876712,520,300,0.4,"0.5",0.4,"0.1"
"80","scenario170","bayesglm",1460,1090,0.746575342465753,-0.0184565893856564,267.41301369863,145.024657534247,412.437671232877,520,300,0.4,"0.38",0.4,"-0.02"
"81","scenario171","bayesglm",1460,1103,0.755479452054794,-0.0189076290013445,278.454109589041,150.119178082192,428.573287671233,540,300,0.4,"0.38",0.4,"-0.02"
"82","scenario172","bayesglm",1460,1155,0.791095890410959,-0.0210256025579096,288.42397260274,155.193150684932,443.617123287671,560,300,0.4,"0.38",0.4,"-0.02"
"83","scenario173","bayesglm",1460,1141,0.781506849315069,-0.0194216312812999,298.682876712329,160.808219178082,459.491095890411,580,300,0.4,"0.38",0.4,"-0.02"
"84","scenario174","bayesglm",1460,1163,0.796575342465753,-0.0206737253391298,308.72397260274,166.599315068493,475.323287671233,600,300,0.4,"0.38",0.4,"-0.02"
"85","scenario175","bayesglm",1460,1186,0.812328767123288,-0.0207526090451348,319.435616438356,171.707534246575,491.143150684932,620,300,0.4,"0.38",0.4,"-0.02"
"86","scenario176","bayesglm",1460,1178,0.806849315068493,-0.0173259285383539,329.749315068493,177.703424657534,507.452739726027,640,300,0.4,"0.38",0.4,"-0.02"
"87","scenario177","bayesglm",1460,1202,0.823287671232877,-0.017907187909809,339.752739726027,183.070547945205,522.823287671233,660,300,0.4,"0.38",0.4,"-0.02"
"88","scenario178","bayesglm",1460,1239,0.848630136986301,-0.022000909551129,349.842465753425,188.801369863014,538.643835616438,680,300,0.4,"0.38",0.4,"-0.02"
"89","scenario179","bayesglm",1460,1249,0.855479452054794,-0.0196878926063884,360.45,194.710273972603,555.160273972603,700,300,0.4,"0.38",0.4,"-0.02"
"90","scenario18","bayesglm",1460,72,0.0493150684931507,0.101508324027301,278.467123287671,149.787671232877,428.254794520548,540,300,0.4,"0.5",0.4,"0.1"
"91","scenario180","bayesglm",1460,1244,0.852054794520548,-0.0196231498386361,371.41301369863,199.356849315069,570.769863013699,720,300,0.4,"0.38",0.4,"-0.02"
"92","scenario181","bayesglm",1460,1273,0.871917808219178,-0.020665168529865,380.734931506849,205.616438356164,586.351369863014,740,300,0.4,"0.38",0.4,"-0.02"
"93","scenario182","bayesglm",1460,1276,0.873972602739726,-0.0213013588628481,391.671917808219,210.596575342466,602.268493150685,760,300,0.4,"0.38",0.4,"-0.02"
"94","scenario183","bayesglm",1460,1287,0.881506849315069,-0.0211964862377776,401.391095890411,216.474657534247,617.865753424658,780,300,0.4,"0.38",0.4,"-0.02"
"95","scenario184","bayesglm",1460,1292,0.884931506849315,-0.0208553505833599,411.553424657534,222.076712328767,633.630136986301,800,300,0.4,"0.38",0.4,"-0.02"
"96","scenario185","bayesglm",1460,1315,0.900684931506849,-0.0216928915103451,421.784931506849,228.169178082192,649.954109589041,820,300,0.4,"0.38",0.4,"-0.02"
"97","scenario186","bayesglm",1460,1327,0.908904109589041,-0.0207693370559899,431.57602739726,233.647945205479,665.22397260274,840,300,0.4,"0.38",0.4,"-0.02"
"98","scenario187","bayesglm",1460,1335,0.914383561643836,-0.0211427985013371,443.101369863014,238.801369863014,681.902739726027,860,300,0.4,"0.38",0.4,"-0.02"
"99","scenario188","bayesglm",1460,1339,0.917123287671233,-0.0207051752820243,452.638356164384,244.21095890411,696.849315068493,880,300,0.4,"0.38",0.4,"-0.02"
"100","scenario189","bayesglm",1460,1357,0.929452054794521,-0.0200085835528173,463.320547945205,250.189726027397,713.510273972603,900,300,0.4,"0.38",0.4,"-0.02"
"101","scenario19","bayesglm",1460,75,0.0513698630136986,0.100178733401362,288.23904109589,155.428082191781,443.667123287671,560,300,0.4,"0.5",0.4,"0.1"
"102","scenario190","bayesglm",1460,1344,0.920547945205479,-0.0197756590413516,473.52602739726,255.630821917808,729.156849315068,920,300,0.4,"0.38",0.4,"-0.02"
"103","scenario191","bayesglm",1460,1353,0.926712328767123,-0.0197664271638827,483.881506849315,260.991095890411,744.872602739726,940,300,0.4,"0.38",0.4,"-0.02"
"104","scenario192","bayesglm",1460,1359,0.930821917808219,-0.0202424221496858,495.230821917808,266.340410958904,761.571232876712,960,300,0.4,"0.38",0.4,"-0.02"
"105","scenario193","bayesglm",1460,1369,0.937671232876712,-0.0206545434211175,504.258904109589,271.976712328767,776.235616438356,980,300,0.4,"0.38",0.4,"-0.02"
"106","scenario194","bayesglm",1460,1379,0.944520547945205,-0.0199326211854654,515.215068493151,277.425342465753,792.640410958904,1000,300,0.4,"0.38",0.4,"-0.02"
"107","scenario195","bayesglm",1460,1372,0.93972602739726,-0.0195532752392065,524.978767123288,283.099315068493,808.078082191781,1020,300,0.4,"0.38",0.4,"-0.02"
"108","scenario196","bayesglm",1460,1383,0.947260273972603,-0.0192829165818755,535.889726027397,288.624657534247,824.514383561644,1040,300,0.4,"0.38",0.4,"-0.02"
"109","scenario197","bayesglm",1460,1409,0.965068493150685,-0.0209738572226081,545.829452054795,293.954794520548,839.784246575342,1060,300,0.4,"0.38",0.4,"-0.02"
"110","scenario198","bayesglm",1460,1391,0.952739726027397,-0.0212821939978215,556.940410958904,299.308219178082,856.248630136986,1080,300,0.4,"0.38",0.4,"-0.02"
"111","scenario199","bayesglm",1460,1398,0.957534246575342,-0.0202410058317173,566.453424657534,305.571917808219,872.025342465753,1100,300,0.4,"0.38",0.4,"-0.02"
"112","scenario2","bayesglm",1460,85,0.0582191780821918,0.099696338821106,113.245890410959,61.1780821917808,174.42397260274,220,300,0.4,"0.5",0.4,"0.1"
"113","scenario20","bayesglm",1460,76,0.0520547945205479,0.102301907658291,298.625342465753,160.981506849315,459.606849315069,580,300,0.4,"0.5",0.4,"0.1"
"114","scenario200","bayesglm",1460,1403,0.960958904109589,-0.0197072016680367,576.830136986301,311.202054794521,888.032191780822,1120,300,0.4,"0.38",0.4,"-0.02"
"115","scenario201","bayesglm",1460,1403,0.960958904109589,-0.0191503449770613,587.116438356164,316.415753424658,903.532191780822,1140,300,0.4,"0.38",0.4,"-0.02"
"116","scenario202","bayesglm",1460,1413,0.967808219178082,-0.0211539889868713,597.72397260274,322.321917808219,920.045890410959,1160,300,0.4,"0.38",0.4,"-0.02"
"117","scenario203","bayesglm",1460,1409,0.965068493150685,-0.0189903387495205,607.678767123288,327.667808219178,935.346575342466,1180,300,0.4,"0.38",0.4,"-0.02"
"118","scenario204","bayesglm",1460,1418,0.971232876712329,-0.0196789043028706,617.541780821918,333.135616438356,950.677397260274,1200,300,0.4,"0.38",0.4,"-0.02"
"119","scenario205","bayesglm",1460,695,0.476027397260274,-0.0283268494411203,103.012328767123,55.4431506849315,158.455479452055,200,300,0.4,"0.37",0.4,"-0.03"
